,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
178,0.534,0.7,-9.055,0.0395,0.137,0.00129,0.107,0.344,83.005,144J8EaJABVxaVOzg1WPwl,231907
179,0.357,0.982,-3.41,0.107,0.000105,3.64e-06,0.0222,0.368,167.889,2qABxQZhfAthNxszLiSsUw,247613
180,0.696,0.883,-5.278,0.0549,0.137,4.63e-06,0.154,0.824,110.243,45rmmU1IqBzMAnIeyNzNbW,339467
181,0.502,0.743,-7.155,0.0508,0.556,0.0,0.0871,0.74,173.36,0CProLn4lYtiObOnmTqW2A,172933
182,0.62,0.964,-3.666,0.0986,0.00659,0.0,0.0287,0.149,139.99,3hVdKuwoKULrzijiiCHXq7,281172
183,0.666,0.942,-3.356,0.0593,0.00253,0.0,0.114,0.582,110.02,0BZwnqZXjmDdRVxAkr1SGo,209067
184,0.498,0.045,-21.503,0.047,0.873,0.0,0.148,0.711,117.848,6bZqW2PTkOatXkqVt0dpta,81227
185,0.552,0.754,-5.888,0.0302,0.373,3.02e-05,0.208,0.595,141.671,6BJ4hKkkbcs3IrLlNx71R8,290933
186,0.723,0.664,-6.49,0.0638,0.187,2.55e-06,0.142,0.708,119.983,63dFd2UgXD8l2buNGEtKRs,171227
187,0.75,0.897,-6.005,0.0312,0.0174,1.16e-06,0.207,0.879,140.013,3VW42XrGdzQ8HLpJKLkZkZ,203582
188,0.419,0.875,-9.297,0.0426,0.0223,0.00114,0.114,0.81,80.657,0oXPs4WBZtiugJwSRhvyDa,272893
189,0.558,0.747,-6.07,0.0319,0.00371,0.0,0.142,0.558,127.102,3swnQCQqUUmuioKkFzp836,238880
190,0.702,0.336,-14.417,0.317,0.863,0.0,0.516,0.418,68.866,1xvjl1HbL0vyZFeavjfesS,76400
191,0.437,0.971,-2.9,0.0753,2.51e-05,0.0,0.254,0.285,125.936,1o5kUcODWoTo3mdCbLogtT,253627
192,0.508,0.333,-11.509,0.0305,0.81,0.0,0.19,0.195,74.458,1tpLxOKuAaRCViAxf2pgNr,259893
193,0.418,0.902,-6.189,0.0333,1.19e-05,0.0414,0.162,0.873,91.06,22K45jV3q4CyccnUimcEX7,154360
194,0.687,0.766,-5.367,0.0725,0.0214,1.79e-06,0.172,0.462,93.938,1N99TpIYiRnTKl1RogXXn2,156480
195,0.553,0.848,-5.152,0.0466,0.00374,1.83e-06,0.0975,0.496,121.981,1CkPfZMwCeNid9kFTyVbXw,260013
196,0.495,0.575,-12.429,0.0424,0.0281,0.000252,0.259,0.756,117.979,5uW9tW9fogT5Qo8tgvgTi6,237107
197,0.651,0.718,-3.924,0.302,0.227,0.0,0.109,0.402,116.772,7cG6SxmQ24hQWnR8UThrk2,207187
198,0.649,0.746,-7.324,0.0313,0.406,1.3e-05,0.138,0.792,123.792,0SYGlCFsVzICi9Ol2ytZIx,223200
199,0.941,0.624,-7.396,0.182,0.0615,0.000153,0.0897,0.8,113.37,0QJP2KvhCSYatBUQRgKmmG,252467
200,0.535,0.0879,-22.003,0.0452,0.973,0.0032,0.104,0.948,103.794,2WYqmfQMM1PsmVQymfvoZS,60800
201,0.803,0.571,-6.937,0.296,0.0169,0.0,0.252,0.101,140.002,0ubdf6zWT1It2saK41SkO0,208504
202,0.781,0.575,-5.895,0.165,0.0775,0.0,0.118,0.611,86.024,2ygCZ9Rl1DccbZGbAJqulS,163256
203,0.752,0.709,-5.053,0.28,0.0401,0.0,0.0601,0.644,84.974,2AwyHlbA6f641SEkizD5JG,205983
204,0.43,0.237,-17.699,0.0478,0.345,0.916,0.446,0.493,110.87,2KVQPmtBuekanm1txIWpuR,178240
205,0.253,0.948,-5.604,0.0749,0.000182,0.00269,0.313,0.467,99.343,5pHQZlekYdxTQExJWe1KSp,200080
206,0.542,0.721,-4.714,0.0266,0.0247,0.0,0.283,0.471,140.007,64PnD6LNHnwDy2qX91Tkce,186533
